ind.names,population
Sample_0841,FY-C20
Sample_0851,FY-C20
Sample_1047,FY-C20
Sample_0857,FY-C20
Sample_0752,Germplasm-pool-1
Sample_0889,Germplasm-pool-1
Sample_0822,Germplasm-pool-1
Sample_0781,Germplasm-pool-2
Sample_0791,Germplasm-pool-2
Sample_0801,Germplasm-pool-2
Sample_0810,Germplasm-pool-2
Sample_0870,Germplasm-pool-2
Sample_0879,Germplasm-pool-2
Sample_0890,Germplasm-pool-2
Sample_0823,Germplasm-pool-2
Sample_0700,Germplasm-pool-3
Sample_0711,Germplasm-pool-3
Sample_0722,Germplasm-pool-3
Sample_0733,Germplasm-pool-3
Sample_0993,Itasca-C12
Sample_1002,Itasca-C12
Sample_1011,Itasca-C12
Sample_1019,Itasca-C12
Sample_1026,Itasca-C12
Sample_1033,Itasca-C12
Sample_1040,Itasca-C12
Sample_1046,Itasca-C12
Sample_0994,Itasca-C12
Sample_1003,Itasca-C12
Sample_0873,Itasca-C12
Sample_0885,Itasca-C12
Sample_0865,Itasca-C12
Sample_0882,Itasca-C12
Sample_0893,Itasca-C12
Sample_0654,Itasca-C12
Sample_0666,Itasca-C12
Sample_0678,Itasca-C12
Sample_0690,Itasca-C12
Sample_0701,Itasca-C12
Sample_0712,Itasca-C12
Sample_0723,Itasca-C12
Sample_0734,Itasca-C12
Sample_0738,Itasca-C12
Sample_0748,Itasca-C12
Sample_0759,Itasca-C12
Sample_0767,Itasca-C12
Sample_0736,Itasca-C12
Sample_0817,Itasca-C12
Sample_0829,Itasca-C12
Sample_0773,Itasca-C12
Sample_0784,Itasca-C12
Sample_0794,Itasca-C12
Sample_0746,Itasca-C12
Sample_0757,Itasca-C12
Sample_0765,Itasca-C12
Sample_0795,Itasca-C12
Sample_0804,Itasca-C12
Sample_0737,Itasca-C12
Sample_0766,Itasca-C12
Sample_0775,Itasca-C12
Sample_0786,Itasca-C12
Sample_0796,Itasca-C12
Sample_0805,Itasca-C12
Sample_0888,Itasca-C12
Sample_0821,Itasca-C12
Sample_1050,Itasca-C12
Sample_0860,Itasca-C20
Sample_0868,Itasca-C20
Sample_0876,Itasca-C20
Sample_0887,Itasca-C20
Sample_0820,Itasca-C20
Sample_0832,Itasca-C20
Sample_0842,Itasca-C20
Sample_0852,Itasca-C20
Sample_0861,Itasca-C20
Sample_0869,Itasca-C20
Sample_0877,Itasca-C20
Sample_0699,K2
Sample_0710,K2
Sample_0721,K2
Sample_0732,K2
Sample_0750,K2
Sample_0760,K2
Sample_0768,K2
Sample_0779,K2
Sample_0878,K2
Sample_0894,K2
Sample_0905,K2
Sample_0916,K2
Sample_0927,K2
Sample_0938,K2
Sample_0950,K2
Sample_0962,K2
Sample_0974,K2
Sample_0895,K2
Sample_0906,K2
Sample_0917,K2
Sample_0928,K2
Sample_0939,K2
Sample_0951,K2
Sample_0963,K2
Sample_0975,K2
Sample_0896,K2
Sample_0907,K2
Sample_0918,K2
Sample_0929,K2
Sample_0762,PM3E
Sample_0770,PM3E
Sample_0834,PM3E
Sample_0844,PM3E
Sample_0854,PM3E
Sample_0862,PM3E
Sample_1053,PM3E
Sample_0742,PM3E
Sample_0753,PM3E
Sample_0763,PM3E
Sample_0771,PM3E
Sample_0782,PM3E
Sample_0792,PM3E
Sample_0802,PM3E
Sample_0811,PM3E
Sample_0835,PM3E
Sample_0845,PM3E
Sample_0855,PM3E
Sample_0863,PM3E
Sample_0871,PM3E
Sample_0880,PM3E
Sample_0891,PM3E
Sample_0824,PM3E
Sample_0836,PM3E
Sample_0793,PM3ExK2
Sample_0892,PM3ExK2
Sample_0825,PM3ExK2
